frame_index,frame_label,previous_frame_label,interface_event_count,"events(interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
1,set_000__step_00000100,set_000__step_00000050,0,
2,set_000__step_00000150,set_000__step_00000100,1,"{organic-surface,formed,573,965,surface,organic,Zn,O,O-Zn,,2.190844}"
3,set_000__step_00000200,set_000__step_00000150,1,"{water-surface,formed,893,1032,surface,water,Zn,O,O-Zn,,2.192121}"
4,set_000__step_00000250,set_000__step_00000200,1,"{organic-surface,formed,539,810,organic,surface,O,Zn,O-Zn,,2.188693}"
5,set_000__step_00000300,set_000__step_00000250,3,"{organic-surface,formed,533,979,surface,organic,Zn,O,O-Zn,,2.133002} {organic-surface,formed,539,830,organic,surface,O,Zn,O-Zn,,2.063304} {water-surface,broken,893,1032,surface,water,Zn,O,O-Zn,1.911590,}"
6,set_000__step_00000350,set_000__step_00000300,0,
7,set_000__step_00000400,set_000__step_00000350,1,"{organic-surface,broken,573,965,surface,organic,Zn,O,O-Zn,2.141496,}"
8,set_000__step_00000450,set_000__step_00000400,3,"{organic-surface,broken,533,979,surface,organic,Zn,O,O-Zn,1.913521,} {organic-surface,broken,539,810,organic,surface,O,Zn,O-Zn,2.093411,} {organic-surface,broken,539,830,organic,surface,O,Zn,O-Zn,2.072527,}"
9,set_000__step_00000500,set_000__step_00000450,0,
10,set_000__step_00000550,set_000__step_00000500,2,"{water-surface,formed,393,999,surface,water,Zn,O,O-Zn,,1.967711} {organic-surface,formed,533,979,surface,organic,Zn,O,O-Zn,,2.006346}"
11,set_000__step_00000600,set_000__step_00000550,1,"{organic-surface,formed,539,830,organic,surface,O,Zn,O-Zn,,2.028066}"
12,set_000__step_00000650,set_000__step_00000600,2,"{organic-surface,formed,539,810,organic,surface,O,Zn,O-Zn,,2.128995} {water-surface,broken,393,999,surface,water,Zn,O,O-Zn,2.119352,}"
13,set_000__step_00000700,set_000__step_00000650,1,"{organic-surface,broken,539,830,organic,surface,O,Zn,O-Zn,1.988667,}"
14,set_000__step_00000750,set_000__step_00000700,0,
