frame_index,frame_label,previous_frame_label,interface_event_count,"events(interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed)"
1,set_000__step_00000100,set_000__step_00000050,0,
2,set_000__step_00000150,set_000__step_00000100,0,
3,set_000__step_00000200,set_000__step_00000150,1,"{organic-surface,formed,553,969,surface,organic,Zn,O,O-Zn,,1.994641}"
4,set_000__step_00000250,set_000__step_00000200,1,"{water-surface,formed,273,1021,surface,water,Zn,O,O-Zn,,1.921721}"
5,set_000__step_00000300,set_000__step_00000250,0,
6,set_000__step_00000350,set_000__step_00000300,1,"{water-surface,broken,273,1021,surface,water,Zn,O,O-Zn,2.083890,}"
7,set_000__step_00000400,set_000__step_00000350,3,"{water-surface,formed,273,1021,surface,water,Zn,O,O-Zn,,2.119484} {water-surface,formed,959,1022,surface,water,O,H,H-O,,1.025134} {organic-surface,broken,553,969,surface,organic,Zn,O,O-Zn,2.162759,}"
8,set_000__step_00000450,set_000__step_00000400,1,"{water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.127964}"
9,set_000__step_00000500,set_000__step_00000450,0,
10,set_000__step_00000550,set_000__step_00000500,0,
11,set_000__step_00000600,set_000__step_00000550,1,"{water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.193819,}"
12,set_000__step_00000650,set_000__step_00000600,0,
13,set_000__step_00000700,set_000__step_00000650,1,"{water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.065477}"
14,set_000__step_00000750,set_000__step_00000700,0,
15,set_000__step_00000800,set_000__step_00000750,1,"{water-surface,broken,959,1022,surface,water,O,H,H-O,1.193300,}"
16,set_000__step_00000850,set_000__step_00000800,3,"{water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,2.122772} {water-surface,broken,273,1021,surface,water,Zn,O,O-Zn,2.116717,} {water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.091668,}"
17,set_000__step_00000900,set_000__step_00000850,0,
